Timestamp, Latitude, Northing, Longitude, Easting, Northing2, Zone
1487795160716736, 42.33884, 4689513.63404, -71.0899166667, 327835.721672, 4689513.63404, 19
1487795161704198, 42.338475, 4689473.27229, -71.09, 327827.860311, 4689473.27229, 19
1487795162704191, 42.3384783333, 4689473.64244, -71.09, 327827.869409, 4689473.64244, 19
1487795163623079, 42.3384783333, 4689473.64244, -71.09, 327827.869409, 4689473.64244, 19
1487795164204200, 42.338635, 4689491.14032, -71.09005, 327824.177886, 4689491.14032, 19
1487795165206084, 42.3387066667, 4689499.06461, -71.0900333333, 327825.746526, 4689499.06461, 19
1487795166205502, 42.3387466667, 4689503.50631, -71.0900333333, 327825.8557, 4689503.50631, 19
1487795167206675, 42.3387633333, 4689505.35702, -71.0900333333, 327825.901189, 4689505.35702, 19
1487795168206556, 42.3387733333, 4689506.46744, -71.0900333333, 327825.928483, 4689506.46744, 19
1487795169205730, 42.33878, 4689507.20773, -71.0900333333, 327825.946679, 4689507.20773, 19
1487795170205869, 42.3387833333, 4689507.57787, -71.0900333333, 327825.955776, 4689507.57787, 19
1487795171206380, 42.3387866667, 4689507.94801, -71.0900333333, 327825.964874, 4689507.94801, 19
1487795172207128, 42.3387866667, 4689507.94801, -71.0900333333, 327825.964874, 4689507.94801, 19
1487795173236100, 42.3387866667, 4689507.94801, -71.0900333333, 327825.964874, 4689507.94801, 19
1487795174205998, 42.3387866667, 4689507.94801, -71.0900333333, 327825.964874, 4689507.94801, 19
1487795175207039, 42.3387866667, 4689507.94801, -71.0900333333, 327825.964874, 4689507.94801, 19
1487795176205987, 42.3387866667, 4689507.94801, -71.0900333333, 327825.964874, 4689507.94801, 19
1487795177206737, 42.3387866667, 4689507.94801, -71.0900333333, 327825.964874, 4689507.94801, 19
1487795178205961, 42.3387866667, 4689507.94801, -71.0900333333, 327825.964874, 4689507.94801, 19
1487795179221335, 42.3387866667, 4689507.94801, -71.0900333333, 327825.964874, 4689507.94801, 19
1487795180206259, 42.3387866667, 4689507.94801, -71.0900333333, 327825.964874, 4689507.94801, 19
1487795181206160, 42.3387866667, 4689507.94801, -71.0900333333, 327825.964874, 4689507.94801, 19
1487795182206241, 42.3387866667, 4689507.94801, -71.0900333333, 327825.964874, 4689507.94801, 19
1487795183206052, 42.3387866667, 4689507.94801, -71.0900333333, 327825.964874, 4689507.94801, 19
1487795184207026, 42.3387866667, 4689507.94801, -71.0900333333, 327825.964874, 4689507.94801, 19
1487795185222004, 42.3387866667, 4689507.94801, -71.0900333333, 327825.964874, 4689507.94801, 19
1487795186210003, 42.338785, 4689507.76294, -71.0900333333, 327825.960325, 4689507.76294, 19
1487795187209513, 42.3387833333, 4689507.57787, -71.0900333333, 327825.955776, 4689507.57787, 19
1487795188209712, 42.3387833333, 4689507.57787, -71.0900333333, 327825.955776, 4689507.57787, 19
1487795189209761, 42.3387816667, 4689507.3928, -71.0900333333, 327825.951228, 4689507.3928, 19
1487795190209479, 42.3387816667, 4689507.3928, -71.0900333333, 327825.951228, 4689507.3928, 19
1487795191223636, 42.33878, 4689507.20773, -71.0900333333, 327825.946679, 4689507.20773, 19
1487795192208942, 42.33878, 4689507.20773, -71.0900333333, 327825.946679, 4689507.20773, 19
1487795193209456, 42.3387783333, 4689507.02265, -71.0900333333, 327825.94213, 4689507.02265, 19
1487795194208559, 42.3387783333, 4689507.02265, -71.0900333333, 327825.94213, 4689507.02265, 19
1487795195208288, 42.3387783333, 4689507.02265, -71.0900333333, 327825.94213, 4689507.02265, 19
1487795196208606, 42.3387766667, 4689506.83758, -71.0900333333, 327825.937581, 4689506.83758, 19
1487795197208938, 42.3387766667, 4689506.83758, -71.0900333333, 327825.937581, 4689506.83758, 19
1487795198208385, 42.338775, 4689506.65251, -71.0900333333, 327825.933032, 4689506.65251, 19
1487795199208224, 42.338775, 4689506.65251, -71.0900333333, 327825.933032, 4689506.65251, 19
1487795200208519, 42.338775, 4689506.65251, -71.0900333333, 327825.933032, 4689506.65251, 19
1487795201209259, 42.3387733333, 4689506.46744, -71.0900333333, 327825.928483, 4689506.46744, 19
1487795202208832, 42.3387733333, 4689506.46744, -71.0900333333, 327825.928483, 4689506.46744, 19
1487795203237830, 42.3387716667, 4689506.28237, -71.0900333333, 327825.923934, 4689506.28237, 19
1487795204208423, 42.3387716667, 4689506.28237, -71.0900333333, 327825.923934, 4689506.28237, 19
1487795205208138, 42.3387716667, 4689506.28237, -71.0900333333, 327825.923934, 4689506.28237, 19
1487795206208314, 42.33877, 4689506.0973, -71.0900333333, 327825.919385, 4689506.0973, 19
1487795207208072, 42.33877, 4689506.0973, -71.0900333333, 327825.919385, 4689506.0973, 19
1487795208212949, 42.33877, 4689506.0973, -71.0900333333, 327825.919385, 4689506.0973, 19
1487795209210684, 42.3387683333, 4689505.91223, -71.0900333333, 327825.914836, 4689505.91223, 19
1487795210208685, 42.3387683333, 4689505.91223, -71.0900333333, 327825.914836, 4689505.91223, 19
