Timestamp, Latitude, Northing, Longitude, Easting, Northing2, Zone
1487795931208787, 42.33871, 4689499.50225, -71.0900666667, 327823.009552, 4689499.50225, 19
 1487795932227931, 42.3387033333, 4689498.76197, -71.0900666667, 327822.991356, 4689498.76197, 19
 1487795933208856, 42.3386983333, 4689498.24051, -71.0900833333, 327821.604673, 4689498.24051, 19
 1487795934208714, 42.3386966667, 4689498.05544, -71.0900833333, 327821.600124, 4689498.05544, 19
 1487795935210556, 42.3386933333, 4689497.6853, -71.0900833333, 327821.591026, 4689497.6853, 19
 1487795936208687, 42.3386866667, 4689496.91126, -71.0900666667, 327822.945867, 4689496.91126, 19
 1487795937209708, 42.33868, 4689496.17098, -71.0900666667, 327822.927671, 4689496.17098, 19
 1487795938209856, 42.3386783333, 4689495.95216, -71.09005, 327824.296158, 4689495.95216, 19
 1487795939209546, 42.3386833333, 4689496.50737, -71.09005, 327824.309805, 4689496.50737, 19
 1487795940208211, 42.33869, 4689497.28141, -71.0900666667, 327822.954965, 4689497.28141, 19
 1487795941209225, 42.3387, 4689498.39183, -71.0900666667, 327822.982258, 4689498.39183, 19
 1487795942209879, 42.3387116667, 4689499.72107, -71.0900833333, 327821.641065, 4689499.72107, 19
 1487795943209493, 42.3387216667, 4689500.8315, -71.0900833333, 327821.66836, 4689500.8315, 19
 1487795944209617, 42.3387316667, 4689501.94192, -71.0900833333, 327821.695654, 4689501.94192, 19
 1487795945209091, 42.33874, 4689502.90102, -71.0901, 327820.345363, 4689502.90102, 19
 1487795946209493, 42.3387516667, 4689504.19652, -71.0901, 327820.377207, 4689504.19652, 19
 1487795947210124, 42.3387633333, 4689505.49201, -71.0901, 327820.40905, 4689505.49201, 19
 1487795948225577, 42.3387733333, 4689506.63619, -71.0901166667, 327819.06331, 4689506.63619, 19
 1487795949208558, 42.338785, 4689507.93168, -71.0901166667, 327819.095154, 4689507.93168, 19
 1487795950208684, 42.338795, 4689509.04211, -71.0901166667, 327819.122448, 4689509.04211, 19
 1487795951207718, 42.338805, 4689510.18628, -71.0901333333, 327817.776709, 4689510.18628, 19
 1487795952208176, 42.3388166667, 4689511.48177, -71.0901333333, 327817.808553, 4689511.48177, 19
 1487795953208713, 42.3388283333, 4689512.81102, -71.09015, 327816.467364, 4689512.81102, 19
 1487795954208361, 42.33884, 4689514.10651, -71.09015, 327816.499208, 4689514.10651, 19
 1487795955207616, 42.3388533333, 4689515.62083, -71.0901666667, 327815.162569, 4689515.62083, 19
 1487795956207744, 42.338865, 4689516.91633, -71.0901666667, 327815.194413, 4689516.91633, 19
 1487795957212296, 42.3388766667, 4689518.21182, -71.0901666667, 327815.226258, 4689518.21182, 19
 1487795958209848, 42.3388883333, 4689519.54107, -71.0901833333, 327813.88507, 4689519.54107, 19
 1487795959210501, 42.3389, 4689520.83656, -71.0901833333, 327813.916915, 4689520.83656, 19
 1487795960209051, 42.3389116667, 4689522.13206, -71.0901833333, 327813.94876, 4689522.13206, 19
 1487795961208766, 42.338925, 4689523.64637, -71.0902, 327812.612122, 4689523.64637, 19
 1487795962209708, 42.3389366667, 4689524.94187, -71.0902, 327812.643967, 4689524.94187, 19
 1487795963208891, 42.3389483333, 4689526.23736, -71.0902, 327812.675812, 4689526.23736, 19
 1487795964209024, 42.33896, 4689527.56661, -71.0902166667, 327811.334627, 4689527.56661, 19
 1487795965227156, 42.33897, 4689528.67703, -71.0902166667, 327811.361923, 4689528.67703, 19
 1487795966208144, 42.3389816667, 4689529.97253, -71.0902166667, 327811.393768, 4689529.97253, 19
 1487795967224919, 42.338995, 4689531.48684, -71.0902333333, 327810.057133, 4689531.48684, 19
 1487795968207109, 42.3390066667, 4689532.78234, -71.0902333333, 327810.088979, 4689532.78234, 19
 1487795969207854, 42.3390166667, 4689533.92651, -71.09025, 327808.743246, 4689533.92651, 19
 1487795970208771, 42.339025, 4689534.85187, -71.09025, 327808.765993, 4689534.85187, 19
 1487795971209486, 42.3390366667, 4689536.14736, -71.09025, 327808.797839, 4689536.14736, 19
 1487795972226621, 42.33905, 4689537.66168, -71.0902666667, 327807.461206, 4689537.66168, 19
 1487795973208768, 42.33906, 4689538.7721, -71.0902666667, 327807.488502, 4689538.7721, 19
 1487795974209509, 42.33907, 4689539.91628, -71.0902833333, 327806.142771, 4689539.91628, 19
 1487795975208452, 42.33908, 4689541.0267, -71.0902833333, 327806.170068, 4689541.0267, 19
 1487795976208044, 42.3390916667, 4689542.35595, -71.0903, 327804.828886, 4689542.35595, 19
 1487795977207934, 42.3391016667, 4689543.46638, -71.0903, 327804.856184, 4689543.46638, 19
